,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
N_111,382.6731545,346.0885793,61.52519,0.901467973,1053.065,0
N_046,300.8091176,334.8811834,156.9041,8.886157256,1053.847,0
N_105,315.8732946,283.0951253,105.5517,0.0,1056.961,0
N_040,408.8623543,348.2901537,112.2367,0.0,1063.398,0
CP_003,278.8703192,315.0180298,102.4185,0.115858047,1068.095,0
N_079,406.68588,372.1548425,132.5446,0.0,1076.159,0
N_023,351.6420601,403.4792835,148.1616,0.0,1079.143,0
N_031,310.5849116,322.3122347,131.0812,6.52568785,1086.385,0
N_017,234.1289325,271.2644269,86.86199,0.0,1094.249,0
N_103,319.2781737,249.9949351,45.27172,0.0,1094.9,0
N_078,381.6933559,484.933861,67.52414,0.0,1096.829,0
N_060,320.531815,314.8334716,61.02926,1.424585844,1105.65,0
N_013,332.208192,293.2946238,171.1323,0.787015985,1111.004,0
CP_025,307.4985034,410.0903464,143.8687,1.569812179,1117.429,0
CP_038,254.5664045,350.2680603,75.79571,0.0,1133.873,0
N_062,452.5429789,475.3222974,95.72847,0.830015653,1142.47,0
N_016,369.7836248,403.6250848,125.0898,0.0,1143.038,0
N_096,570.5561807,269.0410992,211.0047,0.0,1149.396,0
N_047,366.3321826,273.8880003,80.24863,1.489533652,1154.295,0
N_092,229.9508944,315.8830646,63.17661,0.0,1167.869,0
N_003,328.4937605,314.2330269,140.6198,4.074495289,1170.473,0
N_052,319.8958964,294.4890021,79.45429,0.0,1189.967,0
N_041,332.0407385,299.6804053,112.4988,0.0,1199.772,0
CP_027,233.7296128,374.3780328,144.7549,0.0,1208.858,0
N_029,439.6524009,354.1557941,190.8608,3.032621796,1209.161,0
N_025,331.0068862,396.6920733,182.9894,2.193807823,1220.854,0
N_002,374.5792075,265.8548582,186.4774,0.0,1220.875,0
CP_022,331.030276,368.8019801,209.7385,0.0,1222.302,0
CP_039,154.1038462,252.5768433,53.07311,2.557740185,1223.879,0
N_039,337.5005558,274.0273974,230.3148,0.0,1227.173,0
CP_042,255.4038006,264.286056,55.31931,0.779145212,1229.647,0
N_107,505.8197342,277.4282167,137.7354,0.0,1258.214,0
N_026,397.5488202,420.2240571,111.4237,0.0,1258.409,0
N_027,512.8584542,357.635637,217.3686,11.16018066,1261.894,0
CP_84,546.7607078,675.415355,100.304092,0.172343801,1262.332168,0
CP_031,392.9329728,483.7523863,100.0867,7.207889962,1276.002,0
CP_024,309.6305076,198.9782389,27.41826,0.0,1276.908,0
CP_94,425.6883383,290.8476931,265.3414164,5.329669769,1278.435501,0
N_004,401.5156214,470.8804464,119.721,3.557170511,1291.92,0
N_044,442.249613,503.5206513,84.23208,6.988142869,1298.048,0
CP_006,274.5951036,259.1714394,170.3338,10.17018902,1299.09,0
N_098,380.6423108,387.2037462,42.68886,0.0,1302.564,0
N_034,300.7564303,164.4167518,133.0627,7.079953633,1309.791,0
